,Name,Description,Price,Type
1963,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
1964,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
1965,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
1966,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
1967,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
1968,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
1969,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
1970,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
1971,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
1972,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
1973,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
1974,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
1975,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
1976,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
1977,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
1978,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
1979,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
1980,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
1981,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
1982,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
1983,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
1984,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
1985,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
1986,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
1987,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
1988,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
1989,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
1990,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
1991,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
1992,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
1993,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
1994,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
1995,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
1996,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
1997,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
1998,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
1999,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2000,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2001,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2002,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2003,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2004,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2005,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2006,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2007,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2008,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2009,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2010,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2011,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2012,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2013,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2014,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2015,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2016,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2017,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2018,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2019,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2020,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2021,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2022,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2023,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2024,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2025,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2026,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2027,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2028,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2029,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2030,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2031,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2032,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2033,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2034,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2035,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2036,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2037,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2038,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2039,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2040,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2041,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2042,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2043,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2044,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2045,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2046,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2047,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2048,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2049,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2050,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2051,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2052,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2053,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2054,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2055,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2056,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2057,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2058,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2059,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2060,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2061,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2062,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2063,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2064,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2065,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2066,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2067,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2068,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2069,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2070,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2071,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2072,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2073,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2074,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2075,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2076,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2077,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2078,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2079,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2080,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2081,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2082,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2083,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2084,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2085,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2086,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2087,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2088,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2089,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2090,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2091,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2092,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2093,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2094,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2095,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2096,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2097,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2098,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2099,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2100,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2101,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2102,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2103,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2104,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2105,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2106,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2107,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2108,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2109,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2110,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2111,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2112,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2113,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2114,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2115,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2116,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2117,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2118,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2119,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2120,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2121,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2122,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2123,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2124,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2125,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2126,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2127,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2128,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2129,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2130,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2131,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2132,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
2133,Nissan Armada 2008 Gray,"Fully Registered Nissan Armada Flex Fuel F150
2008 Model","? 9,000,000",Local Used
2134,Toyota Corolla 2015 Blue,Clean toks toyota Corolla 2015 SE with clean interior and powerful sound engine n gear n chilling...,"? 15,700,000",Foreign Used
2135,Mercedes-Benz C300 Base C300 RWD Coupe 2019 White,"Foreign used
With fully paid duty","? 45,000,000",Foreign Used
2136,Toyota Venza 2011 Gray,"REGISTERED**
Toyota Venza 2011
 **4PLUGS**
* ?THUMBSTART 
* ?Prefect engine and gear 
* ?First body...","? 12,550,000",Local Used
2137,Mercedes-Benz GLE-Class GLE 350d 4MATIC 2017 White,GLE350 keyless sunroof power both and many more,"? 40,000,000",Foreign Used
2138,Toyota Camry 2010 Gray,Direct belgium neatly used for only 16months. Registered till july 2025. Buy and drive to...,"? 8,500,000",Foreign Used
2139,Lexus RX 330 2006 Silver,"The car is very clean in out, accident free with romantic interior, exterior, factory fitted DVD,...","? 12,500,000",Foreign Used
2140,Mercedes-Benz M Class 2006 Black,"Direct foreign , neat car , perfectly working , no issues","? 10,500,000",Foreign Used
2141,BMW 330i 2021 Black,"Extremely clean and sound 2021 Foreign used BMW 330i
Properly documented 
With original custom duty...","? 43,000,000",Foreign Used
2142,Lexus ES 350 2008 Silver,Car in perfect condition buy & drive everything working perfectly fine engine gear untouched...,"? 8,600,000",Local Used
2143,Honda Accord 2018 White,"Registered Belgium standard Honda Accord 2018. V4 engine. Untouched engine and gear. First body, AC...","? 14,900,000",Foreign Used
2144,Lexus RX 350 2012 Black,"Very clean Lexus RX 350 2012 model with thumbstart black color 
Accident free
Good and neat...","? 20,500,000",Foreign Used
2145,Mercedes-Benz C450 2016 White,Mercedes Benz C450 Foreign used for sale now in abuja clean title,"? 43,000,000",Foreign Used
2146,Mercedes-Benz M Class ML 350 4Matic 2012 Brown,"Tokunbo 2012 Mercedes-Benz ML 350, Brown Color, Keyless Entry, Accident Free, Run and Drive, Clean...","? 25,200,000",Foreign Used
2147,Volkswagen Passat 2.0 Sedan 2010 Gray,"Foreign Used, 
Fastest finger
Nothing to fix
Buy and drive
Serious buyer only","? 9,200,000",Foreign Used
2148,Mercedes-Benz GLE-Class 2017 Black,"This is a clean tittle accident free with two keys buy and drive ,no single fault light on dashboard...","? 43,550,000",Foreign Used
2149,Lexus GX 460 Base 2015 Gray,2015 Lexus GX460 2015 accident free very clean inside and outside the AC is cooling very fine all...,"? 48,000,000",Foreign Used
2150,Toyota Corolla LE 2007 Red,"Accidental free, First Body
Direct Tokunbo
Gear and Engine working perfectly. 
Lagos tincan...","? 8,500,000",Foreign Used
2151,Toyota Venza AWD 2010 Gray,Its in excellent condition. A buy and drive. Hurry while offer last,"? 11,200,000",Local Used
2152,Toyota Corolla 2013 Blue,"Newly arrived Toyota Corolla,
2013 model,Automatic transmission,
Very clean blue ,
With fully fabric...","? 13,500,000",Foreign Used
